"filename", "language", "JSON", "TypeScript", "JSON with Comments", "YAML", "PostCSS", "Markdown", "JavaScript", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\react\polity\src\features\groups\ui\GroupDocumentCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 56, 0, 8, 6, 70
"c:\react\polity\src\features\groups\ui\GroupDocumentsList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 84, 0, 5, 10, 99
"c:\react\polity\src\features\groups\ui\GroupEdit.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 54, 0, 9, 8, 71
"c:\react\polity\src\features\groups\ui\GroupEditForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 52, 0, 11, 9, 72
"c:\react\polity\src\features\groups\ui\GroupMembershipButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 7, 62
"c:\react\polity\src\features\groups\ui\GroupSubscribeButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 38, 0, 4, 4, 46
"c:\react\polity\src\features\groups\ui\GroupsFilters.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 77, 0, 3, 9, 89
"c:\react\polity\src\features\groups\ui\GroupsHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 3, 24
"c:\react\polity\src\features\groups\ui\GroupsList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 7, 65
"c:\react\polity\src\features\groups\ui\IncomingRelationshipRequestsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 111, 0, 5, 7, 123
"c:\react\polity\src\features\groups\ui\InviteMembersDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 175, 0, 7, 9, 191
"c:\react\polity\src\features\groups\ui\LinksSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 39, 0, 5, 4, 48
"c:\react\polity\src\features\groups\ui\LocationInfoSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 47, 0, 5, 4, 56
"c:\react\polity\src\features\groups\ui\MembershipTabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 39, 0, 5, 7, 51
"c:\react\polity\src\features\groups\ui\OutgoingRelationshipRequestsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 101, 0, 5, 7, 113
"c:\react\polity\src\features\groups\ui\PendingInvitationsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 105, 0, 5, 6, 116
"c:\react\polity\src\features\groups\ui\PendingRequestsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 115, 0, 5, 6, 126
"c:\react\polity\src\features\groups\ui\PositionHolderHistoryDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 234, 0, 5, 14, 253
"c:\react\polity\src\features\groups\ui\PositionsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 321, 0, 7, 15, 343
"c:\react\polity\src\features\groups\ui\PresenceIndicators.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 31, 0, 5, 5, 41
"c:\react\polity\src\features\groups\ui\RolesPermissionsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 117, 0, 5, 4, 126
"c:\react\polity\src\features\groups\ui\SocialMediaSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 65, 0, 5, 4, 74
"c:\react\polity\src\features\meet\MeetingPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 13, 94
"c:\react\polity\src\features\meet\hooks\useMeetingBooking.ts", "TypeScript", 0, 69, 0, 0, 0, 0, 0, 0, 0, 2, 8, 79
"c:\react\polity\src\features\meet\hooks\useMeetingData.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 8, 56
"c:\react\polity\src\features\meet\ui\MeetingActions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 8, 67
"c:\react\polity\src\features\meet\ui\MeetingDetails.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 6, 65
"c:\react\polity\src\features\meet\ui\MeetingHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 5, 51
"c:\react\polity\src\features\meet\ui\MeetingParticipants.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 6, 60
"c:\react\polity\src\features\meet\utils\meetingFormatters.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\react\polity\src\features\meet\utils\meetingUtils.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 8, 35
